Thread ID: 70308912647380
Fiber ID: 70308914915040
Total: 0.053679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  6.26      0.006     0.003     0.000     0.003       14  *Kernel#require 
  5.47      0.003     0.003     0.000     0.000      649   String#gsub! 
  4.87      0.003     0.003     0.000     0.000        1   RSpec::Matchers#be 
  4.30      0.002     0.002     0.000     0.000       34   Kernel#caller 
  3.25      0.005     0.002     0.000     0.003       14  *Gherkin::CLexer::En#scan 
  2.68      0.003     0.001     0.000     0.001        6   Kernel#load 
  2.09      0.002     0.001     0.000     0.001       33   ActiveSupport::Inflector#underscore 
  1.80      0.001     0.001     0.000     0.000      105   String#gsub 
  1.73      0.001     0.001     0.000     0.000        1   RSpec::Matchers#be_an_instance_of 
  1.62      0.001     0.001     0.000     0.000        1   Module#class_eval 
  1.59      0.019     0.001     0.000     0.018       94  *Array#map 
  1.48      0.001     0.001     0.000     0.000      129   Regexp#match 
  1.39      0.009     0.001     0.000     0.008      239  *Class#new 
  1.24      0.001     0.001     0.000     0.000       76   Cucumber::Term::ANSIColor#green 
  0.91      0.000     0.000     0.000     0.000      160   String#unpack 
  0.85      0.007     0.000     0.000     0.007       36   Motivation::MotiveBlock#method_missing 
  0.84      0.001     0.000     0.000     0.000      107   ActiveSupport::Inflector#inflections 
  0.77      0.001     0.000     0.000     0.001       21   Proc#file_colon_line 
  0.70      0.000     0.000     0.000     0.000      233   <Module::Cucumber::Term::ANSIColor>#coloring? 
  0.68      0.000     0.000     0.000     0.000       38   IO#write 
  0.65      0.006     0.000     0.000     0.005       33   Motivation::SourceConstantResolver#source_const 
  0.63      0.000     0.000     0.000     0.000      312   Kernel#block_given? 
  0.60      0.000     0.000     0.000     0.000       78   String#=~ 
  0.51      0.001     0.000     0.000     0.000       33   String#sub 
  0.48      0.000     0.000     0.000     0.000      229   <Class::BasicObject>#allocate 
  0.48      0.000     0.000     0.000     0.000       67   Array#join 
  0.48      0.000     0.000     0.000     0.000      100   String#split 
  0.46      0.001     0.000     0.000     0.000       63   Cucumber::Ast::Step#text_length 
  0.45      0.001     0.000     0.000     0.000       32   Cucumber::Formatter::Console#format_for 
  0.45      0.002     0.000     0.000     0.002       33   ActiveSupport::Inflector#camelize 
  0.44      0.000     0.000     0.000     0.000       75   Kernel#respond_to? 
  0.44      0.000     0.000     0.000     0.000       48   <Class::File>#expand_path 
  0.43      0.002     0.000     0.000     0.001       49   Cucumber::RbSupport::RbStepDefinition#arguments_from 
  0.43      0.000     0.000     0.000     0.000       57   Motivation::MotiveInstance#parent= 
  0.40      0.000     0.000     0.000     0.000      107   <Class::ActiveSupport::Inflector::Inflections>#instance 
  0.39      0.000     0.000     0.000     0.000      153   Symbol#to_s 
  0.39      0.001     0.000     0.000     0.001       16   Motivation::MoteDefinition#initialize 
  0.39      0.000     0.000     0.000     0.000      188   Kernel#nil? 
  0.39      0.000     0.000     0.000     0.000      110   String#to_sym 
  0.39      0.000     0.000     0.000     0.000        2   Global#[No method] 
  0.39      0.000     0.000     0.000     0.000      171   String#to_s 
  0.37      0.003     0.000     0.000     0.003       25   Cucumber::Formatter::Console#format_string 
  0.35      0.001     0.000     0.000     0.000       49   <Class::Cucumber::RbSupport::RegexpArgumentMatcher>#arguments_from 
  0.35      0.001     0.000     0.000     0.001       79   String#match 
  0.33      0.001     0.000     0.000     0.001       74   Cucumber::Formatter::ANSIColor#passed 
  0.33      0.000     0.000     0.000     0.000        1   <Class::Dir>#[] 
  0.33      0.001     0.000     0.000     0.001       90   Enumerable#detect 
  0.32      0.005     0.000     0.000     0.005       22  *Array#reverse_each 
  0.32      0.001     0.000     0.000     0.001       63   Cucumber::Ast::StepInvocation#text_length 
  0.31      0.000     0.000     0.000     0.000      143   String#strip! 
  0.29      0.000     0.000     0.000     0.000      147   Module#=== 
  0.28      0.000     0.000     0.000     0.000       21   <Class::Motivation::Mote>#reference 
  0.28      0.000     0.000     0.000     0.000       67   Module#const_defined? 
  0.28      0.000     0.000     0.000     0.000       32   Motivation::MotiveInstance#initialize 
  0.28      0.008     0.000     0.000     0.008       56   Cucumber::Ast::TreeWalker#send_to_all 
  0.27      0.000     0.000     0.000     0.000       71   Hash#[]= 
  0.27      0.000     0.000     0.000     0.000      109   Kernel#is_a? 
  0.27      0.000     0.000     0.000     0.000       16   Cucumber::Term::ANSIColor#red 
  0.27      0.000     0.000     0.000     0.000       21   Array#select 
  0.26      0.001     0.000     0.000     0.001       61   Enumerable#inject 
  0.26      0.001     0.000     0.000     0.001        1   Array#reject 
  0.26      0.000     0.000     0.000     0.000       12   Gherkin::Parser::Parser::Machine#event 
  0.26      0.009     0.000     0.000     0.009        2  *BasicObject#instance_eval 
  0.26      0.000     0.000     0.000     0.000       76   String#capitalize 
  0.26      0.000     0.000     0.000     0.000      119   Module#method_added 
  0.25      0.000     0.000     0.000     0.000        2   Kernel#raise 
  0.24      0.000     0.000     0.000     0.000       34   Cucumber::Ast::TreeWalker#extract_method_name_from 
  0.24      0.002     0.000     0.000     0.002       33   String#camelize 
  0.24      0.000     0.000     0.000     0.000       41   Kernel#dup 
  0.24      0.000     0.000     0.000     0.000       16   Cucumber::Term::ANSIColor#cyan 
  0.21      0.001     0.000     0.000     0.001       21   Cucumber::RbSupport::RbStepDefinition#file_colon_line 
  0.21      0.005     0.000     0.000     0.005       26   Motivation::SourceConstantResolver#require_source_const 
  0.21      0.005     0.000     0.000     0.005       26   Motivation::Motivator#require_source_const 
  0.20      0.000     0.000     0.000     0.000       19   Array#flatten 
  0.19      0.002     0.000     0.000     0.002        7   Cucumber::Formatter::Console#format_step 
  0.19      0.000     0.000     0.000     0.000       19   String#indent 
  0.19      0.000     0.000     0.000     0.000       26   IO#set_encoding 
  0.18      0.049     0.000     0.000     0.049      377  *Array#each 
  0.18      0.000     0.000     0.000     0.000        1   Module#instance_methods 
  0.18      0.000     0.000     0.000     0.000       47   MatchData#captures 
  0.18      0.000     0.000     0.000     0.000       41   Cucumber::Cli::Options#[] 
  0.17      0.022     0.000     0.000     0.022        7   Cucumber::Ast::StepInvocation#invoke 
  0.17      0.000     0.000     0.000     0.000       21   Cucumber::Ast::Names#name 
  0.17      0.000     0.000     0.000     0.000        9   Cucumber::Ast::HasSteps#name_line_lengths 
  0.17      0.002     0.000     0.000     0.002       33   String#underscore 
  0.17      0.000     0.000     0.000     0.000       91   Symbol#== 
  0.17      0.000     0.000     0.000     0.000       57   Array#include? 
  0.17      0.000     0.000     0.000     0.000       14   Cucumber::StepDefinitionLight#hash 
  0.16      0.000     0.000     0.000     0.000       42   Module#const_get 
  0.16      0.000     0.000     0.000     0.000       11   Cucumber::Ast::StepInvocation#status! 
  0.16      0.000     0.000     0.000     0.000        4   Regexp#initialize 
  0.16      0.000     0.000     0.000     0.000        8   Cucumber::Term::ANSIColor#bold 
  0.15      0.003     0.000     0.000     0.003        7   Cucumber::Formatter::Pretty#step_name 
  0.15      0.000     0.000     0.000     0.000       33   Regexp#to_s 
  0.15      0.000     0.000     0.000     0.000       41   Kernel#initialize_dup 
  0.15      0.000     0.000     0.000     0.000       12   Proc#yield 
  0.15      0.000     0.000     0.000     0.000       34   String#tr! 
  0.15      0.000     0.000     0.000     0.000       20   IO#puts 
  0.15      0.000     0.000     0.000     0.000       13   Array#hash 
  0.15      0.003     0.000     0.000     0.003       18   Motivation::Motivator#identify_motive_instance 
  0.14      0.000     0.000     0.000     0.000       31   Enumerable#any? 
  0.14      0.000     0.000     0.000     0.000       20   Regexp#inspect 
  0.14      0.000     0.000     0.000     0.000       21   Proc#to_s 
  0.14      0.000     0.000     0.000     0.000       15   Motivation::Motivator#resolve_mote_definition 
  0.13      0.002     0.000     0.000     0.002        7   Cucumber::Runtime::SupportCode#step_match 
  0.13      0.000     0.000     0.000     0.000        1   Array#count 
  0.13      0.000     0.000     0.000     0.000        7   Cucumber::Runtime::Results#step_visited 
  0.13      0.000     0.000     0.000     0.000       36   BasicObject#!= 
  0.13      0.000     0.000     0.000     0.000       21   Motivation::MoteDsl#validate_mote_name! 
  0.13      0.000     0.000     0.000     0.000       21   Motivation::MoteReference#initialize 
  0.12      0.000     0.000     0.000     0.000       14   Cucumber::Runtime::Results#steps 
  0.12      0.000     0.000     0.000     0.000       10   <Class::Motivation::Motive>#instance 
  0.12      0.001     0.000     0.000     0.001        6   Motivation::MoteDefinitionExpression#method_missing 
  0.12      0.000     0.000     0.000     0.000       17   Motivation::MoteDefinition#== 
  0.12      0.000     0.000     0.000     0.000       33   Motivation::Motivator#source_constant_resolver 
  0.12      0.000     0.000     0.000     0.000       41   String#initialize_copy 
  0.12      0.000     0.000     0.000     0.000       41   NilClass#to_s 
  0.12      0.014     0.000     0.000     0.014       37  *Kernel#tap 
  0.12      0.000     0.000     0.000     0.000       21   MatchData#[] 
  0.12      0.000     0.000     0.000     0.000       11   Cucumber::Ast::HasLocation#location 
  0.11      0.001     0.000     0.000     0.001       17   Motivation::Mote#resolve_motive_instance 
  0.11      0.000     0.000     0.000     0.000       41   Hash#has_key? 
  0.11      0.000     0.000     0.000     0.000        6   Cucumber::Runtime::SupportCode#programming_language_for 
  0.11      0.000     0.000     0.000     0.000        7   Cucumber::Formatter::Pretty#before_step_result 
  0.11      0.000     0.000     0.000     0.000        9   Cucumber::Runtime::Results#scenarios 
  0.11      0.000     0.000     0.000     0.000       32   Motivation::Motivator#root_mote 
  0.11      0.000     0.000     0.000     0.000       44   Array#shift 
  0.11      0.000     0.000     0.000     0.000       24   Cucumber::RbSupport::RbTransform#match 
  0.11      0.000     0.000     0.000     0.000       43   <Class::String>#allocate 
  0.11      0.004     0.000     0.000     0.004       15   Motivation::MoteDefinitionAdder#add_mote_definition 
  0.11      0.010     0.000     0.000     0.009        7   Cucumber::Ast::StepInvocation#visit_step_result 
  0.11      0.034     0.000     0.000     0.034      125  *Proc#call 
  0.10      0.005     0.000     0.000     0.005       30  *Motivation::MotiveBlock#add_mote_definition 
  0.10      0.000     0.000     0.000     0.000       12   Gherkin::Parser::Parser#event 
  0.10      0.001     0.000     0.000     0.001        8   Cucumber::Ast::StepCollection#max_line_length 
  0.10      0.000     0.000     0.000     0.000       27   String#[] 
  0.10      0.000     0.000     0.000     0.000       17   Cucumber::RbSupport::RbStepDefinition#regexp_source 
  0.10      0.000     0.000     0.000     0.000        7   Cucumber::StepMatch#initialize 
  0.10      0.000     0.000     0.000     0.000        9   Cucumber::Formatter::ANSIColor#grey 
  0.10      0.000     0.000     0.000     0.000        1   <Class::IO>#read 
  0.10      0.032     0.000     0.000     0.032        7   Cucumber::Ast::StepInvocation#accept 
  0.10      0.000     0.000     0.000     0.000       10   Logger#add 
  0.10      0.003     0.000     0.000     0.003        6   Cucumber::Runtime::SupportCode#load_file 
  0.10      0.000     0.000     0.000     0.000       15   Motivation::Motives::ContextMotive#add_mote_definition 
  0.10      0.000     0.000     0.000     0.000       25   <Class::Range>#allocate 
  0.09      0.001     0.000     0.000     0.001        7   <Class::Cucumber::RbSupport::RbStepDefinition>#new 
  0.09      0.000     0.000     0.000     0.000       34   String#downcase! 
  0.09      0.000     0.000     0.000     0.000       10   Cucumber::Ast::Location#to_s 
  0.09      0.000     0.000     0.000     0.000       43   String#end_with? 
  0.09      0.002     0.000     0.000     0.002        7   Cucumber::Ast::StepInvocation#find_step_match! 
  0.09      0.000     0.000     0.000     0.000       21   Motivation::MotiveBlock#mote_reference 
  0.09      0.000     0.000     0.000     0.000        1   Array#compact! 
  0.09      0.000     0.000     0.000     0.000       11   <Class::Hash>#[] 
  0.09      0.002     0.000     0.000     0.002        7   Cucumber::Runtime::SupportCode#step_match_without_cache 
  0.09      0.000     0.000     0.000     0.000       35   Kernel#respond_to_missing? 
  0.09      0.000     0.000     0.000     0.000        7   Cucumber::Parser::GherkinBuilder::StepBuilder#result 
  0.08      0.000     0.000     0.000     0.000       21   String#index 
  0.08      0.000     0.000     0.000     0.000       15   <Class::Motivation::Motive>#can_add_mote_definitions? 
  0.08      0.000     0.000     0.000     0.000       14   Cucumber::Formatter::ANSIColor#failed 
  0.08      0.000     0.000     0.000     0.000       46   Symbol#to_sym 
  0.08      0.000     0.000     0.000     0.000       41   String#hash 
  0.08      0.000     0.000     0.000     0.000       15   Motivation::MotiveInstance#dup 
  0.08      0.000     0.000     0.000     0.000        7   Cucumber::Ast::StepInvocation#initialize 
  0.08      0.000     0.000     0.000     0.000       16   Enumerable#max 
  0.08      0.000     0.000     0.000     0.000        7   Cucumber::LanguageSupport::LanguageMethods#invoked_step_definition 
  0.08      0.000     0.000     0.000     0.000       56   Fixnum#<=> 
  0.08      0.000     0.000     0.000     0.000        6   Cucumber::LanguageSupport::LanguageMethods#hooks_for 
  0.08      0.001     0.000     0.000     0.001        7   Cucumber::StepMatch#replace_arguments 
  0.08      0.000     0.000     0.000     0.000       22   String#intern 
  0.08      0.000     0.000     0.000     0.000        2   <Module::Kernel>#exit 
  0.08      0.000     0.000     0.000     0.000        9   Cucumber::Ast::HasLocation#file_colon_line 
  0.08      0.000     0.000     0.000     0.000        7   Cucumber::Formatter::Console#print_messages 
  0.08      0.000     0.000     0.000     0.000       30   Kernel#hash 
  0.08      0.000     0.000     0.000     0.000       36   NilClass#nil? 
  0.07      0.000     0.000     0.000     0.000       17   Cucumber::Ast::Scenario#steps 
  0.07      0.001     0.000     0.000     0.001        7   Motivation::SourceConstantResolver#source_const? 
  0.07      0.002     0.000     0.000     0.002        2   Cucumber::Formatter::Pretty#doc_string 
  0.07      0.000     0.000     0.000     0.000        7   Gherkin::Listener::FormatterListener::Stash#step 
  0.07      0.001     0.000     0.000     0.001        7   Cucumber::RbSupport::RbStepDefinition#initialize 
  0.07      0.001     0.000     0.000     0.001       15   Motivation::MoteDsl#mote_definition! 
  0.07      0.000     0.000     0.000     0.000        1   Kernel#at_exit 
  0.07      0.000     0.000     0.000     0.000        7   Cucumber::Parser::GherkinBuilder#step 
  0.07      0.000     0.000     0.000     0.000       32   String#== 
  0.07      0.000     0.000     0.000     0.000       14   Cucumber::StepDefinitionLight#initialize 
  0.07      0.000     0.000     0.000     0.000       10   Logger#debug 
  0.07      0.000     0.000     0.000     0.000        2   String#% 
  0.07      0.000     0.000     0.000     0.000       15   Motivation::MotiveBlock#mote_definition_expression 
  0.07      0.001     0.000     0.000     0.000        2   <Class::RSpec::Expectations::PositiveExpectationHandler>#handle_matcher 
  0.07      0.000     0.000     0.000     0.000       12   Cucumber::Cli::Configuration#dry_run? 
  0.07      0.000     0.000     0.000     0.000       16   Class#inherited 
  0.07      0.000     0.000     0.000     0.000       12   Regexp#=== 
  0.07      0.000     0.000     0.000     0.000        9   Gherkin::Listener::FormatterListener#replay_step_or_examples 
  0.07      0.000     0.000     0.000     0.000       15   Motivation::MoteDefinitionExpression#initialize 
  0.07      0.000     0.000     0.000     0.000        9   Cucumber::Parser::GherkinBuilder::Builder#location 
  0.07      0.002     0.000     0.000     0.002        8   Cucumber::Ast::HasSteps#max_line_length 
  0.07      0.001     0.000     0.000     0.001        2   <Module::Gherkin::CLexer>#[] 
  0.06      0.004     0.000     0.000     0.004       15   Motivation::MoteDefinition#scan_motive_instances 
  0.06      0.000     0.000     0.000     0.000       24   Array#empty? 
  0.06      0.000     0.000     0.000     0.000       19   Fixnum#to_s 
  0.06      0.000     0.000     0.000     0.000        1   Module#const_missing 
  0.06      0.000     0.000     0.000     0.000       12   Hash#default 
  0.06      0.000     0.000     0.000     0.000        7   Gherkin::Formatter::Model::Step#initialize 
  0.06      0.000     0.000     0.000     0.000       18   Array#first 
  0.06      0.018     0.000     0.000     0.018        4   Cucumber::RbSupport::RbStepDefinition#invoke 
  0.06      0.000     0.000     0.000     0.000        7   Cucumber::LanguageSupport::LanguageMethods#available_step_definition 
  0.06      0.000     0.000     0.000     0.000        7   <Module::Cucumber::Ast::MultilineArgument>#from 
  0.06      0.000     0.000     0.000     0.000        6   Object#cucumber_compatible_arity? 
  0.06      0.000     0.000     0.000     0.000        6   Cucumber::Formatter::ANSIColor#skipped_param 
  0.06      0.001     0.000     0.000     0.001        1   Cucumber::Formatter::Console#print_stats 
  0.06      0.000     0.000     0.000     0.000        7   Cucumber::Ast::Scenario#status 
  0.06      0.050     0.000     0.000     0.050        1   Cucumber::Runtime#run! 
